Park Name,Address,Space Count,Phone Number
'Superstiton Lookout RV Resort',"1371 E. 4th Ave, Apache Junction, AR, 85119, US",,480-982-2008
'Cox Mobile Manor',"109 Evonshire Dr, Arkadelphia, AR, 71923-5449, US",80,(870) 246-8193
'J & R Mobile Home Estates',"25 Friendship Dr, Arkadelphia, AR, 71923-2612, US",,(870) 245-2192
'Rockway Mobile Home Park',"1020 Park Ave, Ashdown, AR, 71822-4534, US",50,
'The Green Gables',"310 South 11th Street, Adel, IA, 50003, US",25,515-993-3856
'Ainsworth Mh Court',"450 Old Military Road, Ainsworth, IA, 52201, US",18,319-657-3862
'Finzen Mh Court',"Akron, IA, 51001, US",44,
'Halley's Mobile Home Park Inc',"6974 Highway 34, Albia, IA, 52531-8709, US",31,(641) 932-7396
'Countryside Mobile Park',"Albion, IA, 50005, US",32,
'Hillcrest Estates',"Hwy 18, Algona, IA, 50511, US",63,
'South Oak Estates',"1109 109th Street, Algona, IA, 50511, US",58,641-220-3300
'Westview Park',"106 Leander St., Alta, IA, 51002, US",59,712-200-3300
'Northside Trailer Court',"114 North Main, Alta, IA, 51002, US",,712-284-2485
'Old Well Court',"203 E Wilson St, Alta Vista, IA, US",11,
'Country Living Mh Park',"6930 Ne 56th St, Altoona, IA, 50009-9552, US",144,515-967-2204
'Country Club Crossing',"1101 Hickory Boulevard, Altoona, IA, 50009, US",,(515) 967-7714
'Emerald Mobile Home Park',"3308 S Duff, Ames, IA, 50010, US",69,515-292-1086
'Old Orchard Mobile Home Park',"111 Mulberry Blvd, Ames, IA, 50010-8148, US",285,515-232-5260
'Meado Lane Mobile Home Park',"1316 South Duff Avenue, Ames, IA, 50010, US",112,515-232-6971
'Shady Grove Mobile Home Park',"1006 S Dayton Ave, Ames, IA, 50010-7701, US",58,515-233-6444
'College Mobile Home Park',"4130 Lincoln Swing, Ames, IA, 50010, US",47,515-292-3078
'Crestview Mobile Home Park',"R.R. 4 West Lincoln Way, Ames, IA, 50014, US",72,515-292-1576
'Hickory Grove Mh Park',"R.R.2, Ames, IA, 50010, US",34,515-388-4058
'Homestead Colony',"843 W 190th St, Ames, IA, 50010-9217, US",77,515-232-3699
'Fairview Terrace',"9710 York St, Anamosa, IA, 52205-7869, US",31,319-362-2467
'Southtowne',"1900 Highway 64 E, Anamosa, IA, 52205-2102, US",127,319-462-6155
'Happy Hollow Mh Court',"605 E First St Park, Anamosa, IA, 52205, US",20,319-462-3653
'Benham Trailer Park',"902 908 Maple Street, Anita, IA, 50020, US",11,712-762-3262
'Oakwood Heights Mh Park',"7368 Ne Berwick Dr, Ankeny, IA, 50021-8829, US",164,515-964-4167
'Mel Ray MHC',"2301 Sw Oralabor Road, Ankeny, IA, 50023, US",93,
'Manly Mhp',"113 Nw Countrywood Ln, Ankeny, IA, 50021, US",21,
'Inn Towner Mhp',"South 3rd Ave, Armstrong, IA, 50514, US",52,712-864-3009
'Woodleys Lakeside Mh Park',"232nd Avenue, Arnolds Park, IA, 51331, US",38,
'Pelican Ridge M H C',"1200 Sunshine Run, Arnolds Park, IA, 51331-7532, US",147,712-332-7015
'Sunny Knoll Court',"8th & N Bates St, Adrian, MO, 64720, US",,816-297-2134
'Donnohue Mobile Home Park',"705 W 4th, Appleton City, MO, 64724, US",,660-476-2728
'Hidden Valley Mobile Home Park',"Arnold, MO, 63010, US",131,(636) 296-7289
'Rockview Heights Mhc',"201 Rockview Ln, Arnold, MO, 63010-2464, US",101,(636) 296-7289
'Rockview Heights',"329 Rockview Cr, Arnold, MO, 63010, US",101,(636) 296-7289
'Ozark Mobile Home Park',"510 D St, Arnold, MO, 63010-2307, US",,(636) 287-2333
'Pacific Manor',"348 Heritage Hills, Arnold, MO, 63010, US",,
'Starling Mobile Home Community',"50 Starling Community Trlr Ct, Arnold, MO, 63010-1759, US",175,(636) 296-8333
'Coach Mobile Home Court',"654 Jeffco Blvd # 1, Arnold, MO, 63010-1437, US",150,(636) 296-5212
'Rex Aire',"71 Rex Air Ct., Office, Arnold, MO, 63010, US",4,636-333-3883
'Newton Mobile Home Park',"Boone St, Ash Grove, MO, 65604, US",6,
'Pittmans Mobile Home Park',"Boone St, Ash Grove, MO, 65604, US",8,
'Davis Mobile Home Park',"E College St, Ash Grove, MO, 65604, US",8,
'Golden Windmill Village',"111 Eastside Dr, Ashland, MO, 65010-9205, US",,(573) 657-2176
'Leo J Williams Trailer Park',"Rr 1, Aurora, MO, 65605-9116, US",,(417) 678-3308
'Prospect Park',"422 E Prospect St, Aurora, MO, 65605-2681, US",100,(417) 678-5238
'Cedar Glen Mobile Home Park',"1600 S Engle St, Aurora, MO, 65605-2676, US",43,(417) 678-4252
'Birchwood Mobile Home Park',"1100 Birchwood Dr, Aurora, MO, 65605-2075, US",35,(417) 678-5500
'Hupp & Poole',"High St, Aberdeen, OH, 45101, US",4,
'Locust Trailer Park',"Locust St, Aberdeen, OH, 45101, US",4,
'Lively Lady',"995 Us 52, Aberdeen, OH, 45101, US",25,
'Ruggles Mobile Home Park #2',"1151 73 Maryland St, Aberdeen, OH, 45101, US",6,
'Riverside Mobile Home Park',"1180 Us 52, Aberdeen, OH, 45701, US",19,
'Ruggles Mobile Home Park',"1185 Us 52, Aberdeen, OH, 45101, US",28,
'Aberdeen Mobile Home Park 1&2',"135 Elm St, Aberdeen, OH, 45101, US",266,
'Elrod's',"1775 Circle Dr, Aberdeen, OH, 45101, US",4,
'Castle Villa Mh Park',"220 Vaugher Hill, Aberdeen, OH, 45101, US",30,
'Hillcrest Estates',"4599 Sr 68, Ada, OH, 45810, US",30,
'Parkview Estates',"569 E Lincoln Ave, Ada, OH, 45810, US",94,
'Hillcrest Mobile Home Park',"State Rt 235, Ada, OH, 45810, US",31,
'Northland Mobile Home Park',"746 N Main St, Ada, OH, 45810-1083, US",93,419-634-0100
'Green Meadow Court',"23135 Sr 235, Ada, OH, 45810, US",45,419-634-7057
'Belmont Court',"207 E Belmont St, Agler, OH, 45812, US",10,
'Nimisila Mobile Home Park',"418 Caston Rd E, Akron, OH, 44319, US",44,
'Mayfield Mobile Home Park',"1909 E Turkeyfoot Lake Rd # 32, Akron, OH, 44312-5424, US",44,(330) 896-1575
'Sandy Beach Trailer Park',"3785 Main St S, Akron, OH, 44319, US",104,
'Coventry Estates',"2132 Arlington St, Akron, OH, 44216, US",14,
'Plaza Court',"1576 Canton Rd, Akron, OH, 44312, US",32,
'Maplewood Park',"3271 E Waterloo Rd, Akron, OH, 44312-4038, US",155,(330) 628-4306
'Dor Way Mobile Home Park',"1990 S Main St, Akron, OH, 44301, US",14,
'Nemes Mobile Home Park',"1955 S Main St, Akron, OH, 44301, US",7,
'Alexanders Mh Park',"2305 Waterloo Rd, Akron, OH, 44312, US",48,
'Bears Mobile Home Park',"1093 Canton Rd, Akron, OH, 44312, US",21,
'Western Reserve',"146 Wilpark Dr, Akron, OH, 44312-6101, US",95,(330) 628-9118
'The Willows',"146 Wilpark Dr, Akron, OH, 44312-3551, US",143,330-628-9118
'Frank's Mobile Homes Park',"954 Canton Rd, Akron, OH, 44312-3317, US",46,(330) 784-5888
'K G Trailer Park',"386 Columbine Ave S, Akron, OH, 44312, US",6,
'Boals Trailer Park',"3052 Albrecht Ave, Akron, OH, 44312, US",5,
'Mobile Development',"3380 E Woodbridge Rd, Acampo, CA, 95220-9541, US",,209-369-1314
'Arbor Mobile Home Park',"19690 N Highway 99, Acampo, CA, 95220-9510, US",173,(209) 369-2452
'Sycamore Mobile Home Park',"24064 N Highway 99, Acampo, CA, 95220-9518, US",21,(209) 368-0433
'Stallion Meadows Mh Park',"33105 Santiago Rd, Acton, CA, 93510-1875, US",154,661-269-2303
'Majestic Homes And Land',"3963 Sierra Hwy, Acton, CA, 93510, US",,661-269-9949
'Acton Country Mobile Home Park',"2501 Sierra Hwy, Acton, CA, 93510-1434, US",25,661-269-2770
'Adelanto Mobile Park',"17971 Jonathan St, Adelanto, CA, 92301-1707, US",41,760-246-5070
'Sunset Mobile Park',"11137 Bartlett Ave, Adelanto, CA, 92301-2048, US",30,760-246-8574
'Desert Capri Mobile Home Park',"11423 Crippen Rd, Adelanto, CA, 92301-1801, US",78,760-246-5664
'Sierra Sands Mobile Home Park',"18772 N Bellflower St, Adelanto, CA, 92301, US",24,
'Butte Creek Mobile Home Park',"Adin, CA, 96006-0200, US",20,(530) 299-3119
'Seminole Springs Mobile Park',"30473 Mulholland Hwy, Agoura Hills, CA, 91301-3127, US",215,(818) 889-1221
'Hacienda Vasques Mh Park',"32590 Agua Dulce Canyon Rd, Agua Dulce, CA, 91350, US",57,
'Oak Grove Trailer Park',"12753 W Sierra Hwy, Agua Dulce, CA, 91350, US",37,
'Alpine Oaks Mobile Estates',"3505 Alpine Blvd, Alpine, CA, 91901-2302, US",66,(619) 445-3081
'Alpine Mobile Home Estates',"2400 Alpine Blvd, Alpine, CA, 91901-4004, US",152,(619) 445-2345
'Alta Laguna Mobile Estates',"10210 Baseline Rd, Alta Loma, CA, 91701-6061, US",294,909-987-2570
'Alta Vista Mobile Home Comm',"10350 Baseline Rd, Alta Loma, CA, 91701-6060, US",186,(909) 987-5622
'Ramona Villa Estates',"9800 Baseline Rd, Alta Loma, CA, 91701-5943, US",149,(909) 987-7358
'Chaparral Heights Mobile Home',"6880 Archibald Ave, Alta Loma, CA, 91701-5047, US",152,(909) 987-3830
'Big Horn Mobile Home Park',"Altaville, CA, 95221-0446, US",188,(209) 736-2075
'Sullys Trailer Lodge',"602 S East St, Alturas, CA, 96101-4148, US",22,
'Nifty Mobile Home & Park',"1401 Thomason Ln # 1, Alturas, CA, 96101-3112, US",36,530-233-5322
'California Pine Mobile Home lot',"Alturas, CA, 96101, US",,
'Summerset Mobile Estates',"Alviso, CA, 95002-0878, US",112,(408) 946-1990
'Fairgrounds Mobile Estates',"2525 Flosden Rd, American Canyon, CA, 94503-3069, US",230,(707) 644-4720
'World Marine Estates',"2555 Flosden Rd # 127, American Canyon, CA, 94503-3925, US",125,(707) 648-2616
'Las Casitas Napa Mobile Home',"3000 Broadway St, American Canyon, CA, 94503-1207, US",96,(707) 552-2112
'American Canyon Mobile Home Pk',"260 American Canyon Rd, American Canyon, CA, 94503-3068, US",191,(707) 552-5036
'Olympia Mobilodge Of Napa',"244 American Canyon Rd, American Canyon, CA, 94503-3067, US",201,(707) 644-8133
'Andover Estates',"105 E Rhondda Ave, Andover, KS, 67002-9635, US",266,316-272-7802
'Lou Ann's Campgrounds',"9423 292nd Rd, Arkansas City, KS, 67005-6265, US",26,(620) 442-4458
'Sandalwood Mobile Home Park',"519 E Kansas Ave, Arkansas City, KS, 67005-1260, US",58,(620) 442-5884
'',"Rr1, Arkansas City, KS, 67005, US",20,620-442-7471
'Willow Creek Mobile Home Park',"Rr2, Arkansas City, KS, 67005, US",38,
'Smokey Valley Mobile Home Park',"Cox Way, Assaria, KS, 67416, US",37,785-667-3922
'Forest Mobile Home Park',"21st & Forest Park Ave, Atchison, KS, 66002, US",75,
'Countryside Estates',"1605 Main St, Atchison, KS, 66002-2609, US",35,913-367-3764 
'Decade Acres Mobile Home Park',"1900 Harper Dr, Atchison, KS, 66002-1174, US",,785-236-8677 
'Country Club',"17420 Country Club Rd, Atchison, KS, 66002, US",3,
'Country Club Road',"Atchison, KS, US",3,
'Mini Mobile Park',"Country Club Rd, Atchison, KS, 66002, US",3,
'Augusta Mobile Home Park',"713 W 7th Ave, Augusta, KS, 67010-1347, US",128,316-775-6101
'Augusta East Mobile Home Park',"1245 Hooper Dr, Augusta, KS, 67010-1878, US",46,316-775-7479
'Mc Clure Family Ltd',"1703 Ridgewood Dr, Augusta, KS, 67010-9495, US",,(316) 775-1080
'Anaconda Mobile Court',"404 N Cable Rd, Anaconda, MT, 59711-1692, US",10,406-563-7077
'North Latta Mh Village',"1323 Latta Road, Ada, OK, 74820-8612, US",,580-332-6718
'Country Lane Mh Park',"3 W & Highway 19, Ada, OK, 74820, US",,580-332-0178
'Westside Properties',"1028 W Main St, Ada, OK, 74820-5420, US",,(580) 235-2211
'Country Hills Mobile Home Park',"2800 N Country Club Rd, Ada, OK, 74820, US",145,(580) 332-3404
'Bakers Lake Ranch Mh Park',"Afton, OK, 74331, US",,
'Boxes Mobile Home Park',"R R 1 Box 564, Afton, OK, 74331-9641, US",,
'East Bay Resort Mh Park',"Rt 3 Box 1812, Afton, OK, 74331, US",,
'Ridenours Mobile Home Park',"R R 4 Box 629, Afton, OK, 74331, US",,
'Tera Miranda Mh Park',"Rt 3 Box 2200, Afton, OK, 74331, US",,
'Three C's Rv Park',"R R 3 Box 1438, Afton, OK, 74331, US",18,918-257-5605
'Grand Country Mobile Park',"55015 E 270 Rd, Afton, OK, 74331, US",10,918-257-5164
'Paradise Cove Mh Park',"Rt 2 Box 718, Afton, OK, 74331, US",,
'Hudson Bay Mobile Home Park',"53501 E 260 Rd, Afton, OK, 74331, US",,
'Oneys Mobile Home Park',"53561 E 260 Road, Afton, OK, 74331, US",,
'Cecils Mobile Home Park',"Box 477, Alex, OK, 73002, US",6,
'Sooner Trailer Court',"1601 S Main St, Altus, OK, 73521-6501, US",30,580-482-1182
'Falcon Terrace Mh Park',"1200 N Park Lane # 15, Altus, OK, 73521-4560, US",67,580-482-6450
'Sunset Mobile Home Park',"1401 N Blain St # 20, Altus, OK, 73521-2357, US",,(580) 482-6597
'Park Lane Estates',"2101 North Park Lane, Altus, OK, 73521, US",200,(580) 482-4661
'Keltner Mobile Home Park',"203 Oklahoma Blvd, Alva, OK, 73717-2843, US",35,(580) 327-3374
'Amber Mobile Home Park',"Box 215, Amber, OK, 73004, US",11,405-222-0044
'Koch Trailer Park',"218 Santa Fe Drive, Arapaho, OK, 73620, US",40,
'Whispering Oaks Mobile Home Park',"9651 E Waterloo Rd., Arcadia, OK, 73007-9550, US",191,(405) 396-2791
'Me Trailer Park',"980 Lake Murray Dr S, Ardmore, OK, 73401-8657, US",,(580) 226-9060
'Plaza Mobile Homes Park',"602 Park St Se, Ardmore, OK, 73401-8841, US",,(580) 223-2923
'Viewpointe Mobile Home Park',"116 S Commerce St, Ardmore, OK, 73401-3901, US",110,(580) 223-1040
'Meadowbrook Mobile Home Park',"2021 4th Ave Nw # 96, Ardmore, OK, 73401-2529, US",155,(580) 226-0506
'Mayo Mobile Homes',"1911 7th Ave Nw, Ardmore, OK, 73401-2273, US",23,(580) 223-3144
'Town & Country Mobile Home Pk',"3841 N Commerce St # 3, Ardmore, OK, 73401-1090, US",,(580) 226-2222
'Clear Creek Mobile Home Park',"17216 Ian Ln, Abingdon, VA, 24210-7944, US",34,276-628-1396
'Anderson's Trailer Park',"946 Hillman Hwy Ne, Abingdon, VA, 24210-4129, US",52,(276) 628-9506
'Dreamland Homes',"Accomac, VA, 23301-0419, US",90,(757) 787-2823
'Penn Daw Terrace Trailer Park',"Alexandria, VA, 22309-0270, US",91,(703) 768-9318
'Harmony & Rays Mhp',"8018 Richmond Hwy, Alexandria, VA, 22306-3098, US",75,(703) 360-4460
'Audubon - Virginia',"7930 Audubon Ave., Alexandria, VA, 22306, US",700,302-945-5186
'Falcon Crest Mhp',"200 Boxwood Circle, Amherst, VA, 24521, US",,
'Court Lane Mobile Home Park',"Amissville, VA, 20106, US",13,540-937-7362
'Parkview Mobile Home & Rv Park',"Appomattox, VA, 24522-0130, US",30,(434) 352-8784
'D S Nash Construction Co',"Highway 24 E, Appomattox, VA, 24522, US",72,434-352-2366
'Sedgefield',"102 Water Oak Ln, Ashland, VA, 23005-2228, US",262,(804) 798-8051
'Palm Leaf Mobile Home Park',"Ashland, VA, 23005-5093, US",50,(804) 798-6618
'Chimney Corner Park',"10296 Old Ridge Road, Ashland, VA, 23005, US",,
'Blue Ridge Trailer Court',"Augusta County, VA, US",,
'Country Estates Mhp',"Augusta County, VA, US",,
'Fordwick Mh Village',"Augusta County, VA, US",,
'Jollett Springs Mhp',"Augusta County, VA, US",,
'Knox Mobile City',"Augusta County, VA, US",,
'Woodlawn Village',"Augusta County, VA, US",,
'Niblett Mobile Home Park',"Box 1241, Axton, VA, 24054, US",,
'Windy Hill Mobile Home Park',"Box 2095, Axton, VA, 24054, US",,
'D & L Mobile Home Park',"Box 2382, Axton, VA, 24054, US",,
'Poteat Mobile Home Park',"Box 466, Axton, VA, 24054, US",,
'Rolling Hills Mobile Home Park',"Box 483, Axton, VA, 24054, US",,
'Windy Ridge Mobile Home Park',"Box 667, Axton, VA, 24054, US",,
'Mountain Vista Village',"Box 778, Axton, VA, 24054, US",,
'My Sisters Place',"11701 Hwy 17, Alamosa, CO, US",12,719-378-2098
'Wagon Wheel Mhp',"8719 Us Highway 285 S, Alamosa, CO, 81101-8726, US",35,719-589-4242
'Century Mobile Home Park',"1700 State Ave, Alamosa, CO, 81101-3543, US",183,719-589-2784
'Navajo Trailer Park',"12535 Hwy 160, Alamosa, CO, US",5,719-589-3808
'Town N Country Annex',"3105 Main St, Alamosa, CO, US",58,719-587-0668
'High Valley Park',"4892 State Highway 17, Alamosa, CO, 81101, US",28,719-589-3333
'Berkeley Village Mobile Home',"5400 Sheridan Blvd, Arvada, CO, 80002-7046, US",400,303-455-0659
'Smugglers Mobile Owners Assoc',"301 Oak Ln, Aspen, CO, 81611-2184, US",,970) 925-5594
'Aspen Village Home Owners Assoc',"31300 Highway 82, Aspen, CO, 81611-9626, US",150,970-923-4337
'Stewart Mobile Home Park',"325 E 1st St, Ault, CO, 80610-9628, US",60,970-834-2028
'Millers Trailer Park',"321 Hwy 85, Ault, CO, 80610, US",9,
'Hensley Mobile Home Park',"511 Hwy 85, Ault, CO, 80610, US",4,
'Aspen Meadows Mhc',"21589 E. Rowland Place, Aurora, CO, 80016, US",257,303-400-4208
'Cedar Village Mobile Home Park',"15814 E Colfax Ave, Aurora, CO, 80011-5835, US",132,303-344-3831
'Woodshire East',"17501 E Colfax Ave, Aurora, CO, 80011-5030, US",238,303-341-2354
'Green Acres Mobile Home Park',"1540 Billings St, Aurora, CO, 80011-5700, US",210,303-364-3744
'Friendly Village Of Aurora',"1711 Roosevelt Way, Aurora, CO, 80011-4950, US",439,303-360-9530
'Hillcrest Village',"1600 Sable Boulevard, Aurora, CO, 80011, US",,(303) 364-4782
'The Meadows',"14470 E. 13th Avenue, Aurora, CO, 80011, US",1,
'Neilson Trailer Park',"9859 2100 Rd, Austin, CO, 81410, US",,
'Aspens Mobile Home Village',"901 W Beaver Creek Blvd, Avon, CO, 81620, US",159,970-949-4588
'Lowhorn Mobile Park',"Water Street, Albany, KY, 42602, US",10,
'Genes Mobile Home Park',"Allen Street, Albany, KY, 42602, US",20,606-387-5553
'Oak Meadow Mobile Home Park',"Allen Street, Albany, KY, 42602, US",30,
'Grider Hill Dock Mh Park',"Rt. 4, Albany, KY, 42602, US",51,
'Wolf River Resort And Marina',"Rt. 2 Box 751, Albany, KY, 42602, US",,606-387-5841
'While Villa Mobile Home Park',"200 Terrace Court, Alexandria, KY, 41001, US",50,859-635-2440
'Derby Hills Pointe',"784 Whirlaway Lane, Alexandria, KY, 41001, US",169,859-250-8927
'Campbell Pointe',"12635 Spruce Street, Alexandria, KY, 41001, US",,859-250-8927
'Alpike Mobile Park',"Alpike Mobile Park, Allen, KY, 41601, US",25,(606) 874-2560
'Toskana Place',"1824 Radio Road, Almo, KY, 42020, US",13,270-753-9270
'Shields Mobile Home Park',"Ed Harp Lane, Artemus, KY, 40903, US",4,606-546-6403
'Sycamore Park M.H.P.',"Elkhorn Creek Road, Ashcamp, KY, 41512, US",9,606-754-9126
'Court Of Three Sisters',"1007 West Midland Trail, Ashland, KY, 41102, US",28,606-928-9687
'Doug George Mobile Park',"11613 Midland Trail Road, Ashland, KY, 41102, US",3,606-928-8370
'Green Tree Mobile Village',"1600 Wolohan Drive, Ashland, KY, 41102, US",32,606-324-5849
'Gobblers Knobb Mobile Park',"2223 Judy Lane, Ashland, KY, 41102, US",4,606-928-8002
'Dale Renee Park',"1632 Shopes Creek Road, Ashland, KY, 41102, US",34,
'Ponderosa Mobile Park',"8126 Ponderosa Ridge, Ashland, KY, 41102, US",42,606-324-2020
'Suburban Mobile Home Park',"6525 U.S. 60, Ashland, KY, 41102, US",39,606-928-6395
'Old Mill Run',"State Route 716, Ashland, KY, 41102, US",38,304-529-2033
'Rucker Mobile Home Park',"Route 716, Ashland, KY, 41102, US",18,606-928-5165
'River Park Mobile Court',"4900 Boyd Street, Ashland, KY, 41101, US",42,606-325-1700
'Mays Park',"901 Glendale Road, Ashland, KY, 41102, US",14,606-928-4454
'Pine Terrace Mobile Home Park',"1001 Forestdale Road, Ashland, KY, 41102, US",38,
'Green Acres Mobile Park',"330 W Donta Road, Ashland, KY, 41102, US",33,606-928-9201
'Meades Mobile Park',"3108 Simpson Road, Ashland, KY, 41101, US",25,606-324-9112
'J & J Mobile Home Park',"103 Mcknight Street, Ashland, KY, 41102, US",15,606-329-0567
'Kelleys Mobile Home Park',"705 Bellefonte Road, Ashland, KY, 41102, US",18,606-324-6652
'Tanglewood Mobile Home Park',"103 Lycan Rd, Ashland, KY, 41101-7184, US",70,606-324-2020
'Settlers Grove Mh Park',"891 West Main Street, Auburn, KY, 42206, US",26,
'C & D Mobile Home Park',"Ainsworth, NE, 69210, US",,402-387-1019
'Kyser Mobile Home Park',"Ainsworth, NE, 69210, US",,402-387-1809
'Goldie Davis Mobile Home Park',"W Second St, Ainsworth, NE, 69210, US",6,402-387-2528
'Halligans Trailer Court',"320 North Pine, Ainsworth, NE, 69210, US",7,402-387-1633
'Pine Villa Mobile Home Park',"E Hwy 91, Albion, NE, 68620, US",,402-497-2381
'Siesta Mobile Home Park',"402 W Front St, Alda, NE, 68810, US",8,(308) 390-7369
'Majorins Mobile Home Park',"502 W Front, Alda, NE, 68810, US",18,
'M&M Mobile Home Park',"106 N Chestnut, Alda, NE, 68810, US",11,308-380-8282
'',"5020 W Hwy 30, Alda, NE, 68810, US",,308-395-9546
'Prairie West Mobile Home Park',"4954 W Hwy 30, Alda, NE, 68810, US",20,308-389-5757
'Haven Trailer Court',"6090 Rock Road, Alliance, NE, 69301, US",14,308-762-3537
'Lazy W Mobile Home Park',"400 Kansas, Alliance, NE, 69301-4006, US",75,308-762-8216
'Flying Diamond Court',"1003 E Third, Alliance, NE, 69301, US",9,308-762-8642
'',"1039 Duncan, Alliance, NE, 69301, US",7,308-762-6943
'Tower Plaza Mobile Home Park',"Alliance, NE, 69301, US",,308-458-2716
'T & M Trailer Park',"9th & Kennedy Ave, Alma, NE, 68920, US",,308-928-2707
'Hooks and Arrows RV & MHP',"1000 Meyer, Alma, NE, 68920, US",,308-999-0092
'Foster Trailer Court',"9th And 10th St, Altoona, NE, 16602, US",15,308-352-4612
'Chucks Trailer Park',"4th & Main St, Arapahoe, NE, 68922, US",18,308-962-7416
'Strode Trailer Park',"702 South 7th St, Ashland, NE, 68003-0154, US",,402-944-7362
'El Rancho Mh Court',"2102 Fumas St, Ashland, NE, 68003, US",,402-944-3610
'Briarpark Trailer Court',"Atkinson, NE, 68713, US",14,402-925-5453
'Walsh Mobile Home Park',"Atkinson, NE, 68713, US",7,402-925-5459
'Southside Mobile Home Park',"South Hwy 75, Auburn, NE, 68305, US",38,
'Huntington Mh Village',"1405 26th St, Auburn, NE, 68305, US",16,402-660-6600
'Terrace Mobile Home Park',"1623 U Street, Auburn, NE, 68305, US",22,402-274-3188
'Country Side Court',"12th & Kissel St, Aurora, NE, 68818, US",38,402-694-2869
'Greenmeadow Estates',"Aurora, NE, 68818, US",32,402-694-3789
'Maples 2 Mobile Home Park',"Aurora, NE, 68818, US",,402-694-3154
'Grandpa's Place',"1000 E St, Aurora, NE, 68818, US",40,402-694-5592
'J I Bar Mobile Home Court',"Adams, OR, 97810, US",6,541-276-9070
'Oakvilla Mobile Home Park',"32483 Oakville Rd Sw, Albany, OR, 97321-9439, US",83,541-752-3733
'Camelot Mobile Home Park',"34505 Riverside Dr Sw, Albany, OR, 97321, US",50,
'Oak View Terrace',"777 College Park Dr Sw, Albany, OR, 97321-8401, US",105,541-928-4885
'Columbus Greens',"5050 Columbus St, Albany, OR, 97322, US",268,949-486-7167
'Edgewood Mobile Home Park',"3800 S Mountain View Dr Se, Albany, OR, 97321-6409, US",151,541-926-8844
'Valley Trailer Park',"3419 S Pacific Blvd, Albany, OR, 97321, US",23,
'Three Lakes Estates',"2151 Three Lakes Rd, Albany, OR, 97321, US",96,541-859-3530
'Shorewood Estates',"1905 Waverly Dr Se, Albany, OR, 97321-6954, US",102,541-926-9787
'Periwinkle Mobile Park',"1010 Geary St Se, Albany, OR, 97321-6819, US",37,541-926-0700
'Heatherdale Mobile Village',"950 Airport Rd Se, Albany, OR, 97321-5108, US",80,541-926-6360
'Coral Gardens Mobile Park',"1200 Salem Ave S E, Albany, OR, 97321, US",33,
'Woodland Square Mh Park',"1415 Salem Ave Se, Albany, OR, 97321, US",20,
'Rosewood Estates',"300 Western Ave Se, Albany, OR, 97321-6581, US",78,541-812-1559
'Village Estate Mobile Park',"3246 Salem Ave S.E. # 1, Albany, OR, 97321-4566, US",39,541-926-3383
'Maple Terrace Mh Park',"830 N Albany Rd, Albany, OR, 97321, US",19,541-753-3260
'Century Firs Mh Park',"1101 Century Dr Ne, Albany, OR, 97321, US",3,541-758-2000
'Albany Trailer Park',"1197 Century Dr Ne, Albany, OR, 97321-4366, US",22,541-928-8532
'Wishing Well Mobile Home Park',"10555 7737 S.E. Columbus, Albany, OR, 97321, US",,
'Reedville Mobile Home Park',"1550 S.W. Cornelius Rd, Aloha, OR, 97006, US",78,
'Wymans Trailer Court',"148 S Second Street, Alsea, OR, 97324, US",9,541-487-4462
'Crooked Creek Mh Park',"20312 Alsea Highway, Alsea, OR, 97324-9715, US",15,541-487-7388
'Applegate Mobile Home Park',"537 Thompson Creek Rd, Applegate, OR, 97530, US",44,
'Terrace Heights Trailer Court',"1290 Main St, Arlington, OR, 97812-0061, US",26,(541) 454-2757
'Columbia River Mh Park',"Shane Dr, Arlington, OR, 97812, US",75,541-454-2555
'Siskiyou Trailer Village',"2799 Siskiyou Blvd, Ashland, OR, 97520-9537, US",51,541-482-1776
'Pines Trailer Court',"1565 Siskiyou Blvd, Ashland, OR, 97520, US",37,
'Wingspread Mobile Home Park',"321 Clay St, Ashland, OR, 97520-1338, US",108,541-779-7495
'Tolman Creek Park',"215 Tolman Creek Rd, Ashland, OR, 97520, US",37,541-482-1615
'Ashland Acres Mh Estates',"1235 N Mountain Ave, Ashland, OR, 97520, US",16,
'Wildwood Village',"1753 State Route 105, Aberdeen, WA, 98520, US",16,
'Rustemeyer Mhp',"17 Rustemeyer Rd, Aberdeen, WA, 98520, US",22,
'South Shore Vllge',"29 Newskah Rd, Aberdeen, WA, 98520, US",,
"'Leisure Manor Estates, LLC'","312 Care Free Circle, Aberdeen, WA, 98520, US",215,360-979-0500
'Boulevard Mhp',"216 W Curtis St, Aberdeen, WA, 98520, US",42,360-593-9386
'Skookum Mhp',"3910 Olympic Hwy, Aberdeen, WA, 98520, US",13,360-533-5668
'Hazel's Trailer Court',"122 Nw Boulevard, Aberdeen, WA, 98520, US",2,
'Linkshire Center',"5611 Olympic Hwy, Aberden, WA, 98520, US",42,360-533-1861
'Country Hills Mh Park',"1314 Hwy 395 South, Addy, WA, 99101, US",47,509-935-6726
'Lawson Campbell Mhp',"21st & Lawson St, Airway Heights, WA, 99001, US",89,509-238-9469
'Vietzke Village Mhp',"2011 S Craig Rd, Airway Heights, WA, 99001, US",55,509-244-9607
'Aero Mhp',"1649 S Campbell, Airway Heights, WA, 99001, US",34,509-244-4299
'West Plain Rental Properies',"1430 S Albert, Airway Heights, WA, 99001, US",,509-535-9791
'All Seasons Mhp',"12525 W Sunset Hwy, Airway Heights, WA, 99001, US",10,
